"Unique_Unique_Object","Experiment","Aktnac","ERKnac","Condition","Concen"
213,"20200122 P1",0.1638,0.1672,"DMSO",0
213,"20200122 P1",0.1638,0.1672,"PTx",0
213,"20200122 P1",0.1638,0.1672,"YM",0
213,"20200122 P1",0.1638,0.1672,"ymptx",0
214,"20200603 P1",0.711,4.1161,"DMSO",1300
215,"20200122 P1",-0.0485999999999999,0.1968,"DMSO",0
215,"20200122 P1",-0.0485999999999999,0.1968,"PTx",0
215,"20200122 P1",-0.0485999999999999,0.1968,"YM",0
215,"20200122 P1",-0.0485999999999999,0.1968,"ymptx",0
215,"20200603 P1",1.809,6.7166,"DMSO",1300
216,"20200603 P1",0.9566,6.3369,"DMSO",1300
217,"20200122 P1",-0.1793,0.0828,"DMSO",0
217,"20200122 P1",-0.1793,0.0828,"PTx",0
217,"20200122 P1",-0.1793,0.0828,"YM",0
217,"20200122 P1",-0.1793,0.0828,"ymptx",0
217,"20200603 P1",0.7292,3.7139,"DMSO",1300
218,"20200122 P1",0.1313,0.0258000000000002,"DMSO",0
218,"20200122 P1",0.1313,0.0258000000000002,"PTx",0
218,"20200122 P1",0.1313,0.0258000000000002,"YM",0
218,"20200122 P1",0.1313,0.0258000000000002,"ymptx",0
218,"20200603 P1",0.434400000000001,4.3781,"DMSO",1300
219,"20200603 P1",0.386,4.931,"DMSO",1300
220,"20200122 P1",0.0532,0.3917,"DMSO",0
220,"20200122 P1",0.0532,0.3917,"PTx",0
220,"20200122 P1",0.0532,0.3917,"YM",0
220,"20200122 P1",0.0532,0.3917,"ymptx",0
220,"20200603 P1",0.9045,4.3728,"DMSO",1300
221,"20200603 P1",0.4765,3.0219,"DMSO",1300
222,"20200603 P1",-0.1056,4.5424,"DMSO",1300
223,"20200603 P1",0.0280000000000004,4.3774,"DMSO",1300
224,"20200603 P1",-0.0935,1.9857,"DMSO",1300
225,"20200603 P1",0.1403,5.1945,"DMSO",1300
226,"20200122 P1",-0.1189,0.0194999999999997,"DMSO",0
226,"20200122 P1",-0.1189,0.0194999999999997,"PTx",0
226,"20200122 P1",-0.1189,0.0194999999999997,"YM",0
226,"20200122 P1",-0.1189,0.0194999999999997,"ymptx",0
227,"20200122 P1",0.499499999999999,0.8903,"DMSO",0
227,"20200122 P1",0.499499999999999,0.8903,"PTx",0
227,"20200122 P1",0.499499999999999,0.8903,"YM",0
227,"20200122 P1",0.499499999999999,0.8903,"ymptx",0
